@Ordspråk|Vad är
ett ortofoto|Ett flyg- eller satellitfoto som geometriskt korrigerats så att skalan är jämn och kan användas som en karta kallas så.
en storcirkel|Den kortaste rutten mellan två punkter på en sfär följer en båge av denna typ, vilket gör flygrutter böjda på platta kartor.
antipoden|Punkten exakt på andra sidan jordklotet från en given plats kallas med detta geografiska begrepp.

@Gränser och grannländer|Vad är
38:e breddgraden|Denna linje användes efter andra världskriget som ungefärlig delning mellan de sovjetiska och amerikanska ockupationszonerna i Korea.
49:e breddgraden|En stor del av gränsen mellan Kanada och det sammanhängande USA följer denna latitud väster om de stora sjöarna.
Oder-Neisse-linjen|Efter andra världskriget blev dessa två floder grunden för större delen av Tysklands nya östgräns mot Polen.
Durandlinjen|Den omstridda gränsen mellan Afghanistan och Pakistan drogs under brittiskt inflytande på 1890-talet och bär detta namn.
Radcliffelinjen|Vid Brittiska Indiens delning 1947 drogs denna gräns snabbt mellan de nya staterna Indien och Pakistan.
McMahonlinjen|Denna kolonialtida gränsdragning i Himalaya erkänns av Indien men bestrids av Kina i ett känsligt gränsområde.
Rio Grande-gränsen|En lång sträcka mellan Texas och Mexiko följer denna stora flod som i Mexiko kallas Río Bravo.
141:a västliga meridianen|En lång rak del av gränsen mellan Alaska och Kanadas Yukon följer denna longitud.
Anderna mellan Chile och Argentina|En stor del av dessa två sydamerikanska länders långa gräns följer kontinentens högsta bergskedja.
Prut|Floden utgör en stor del av gränsen mellan Rumänien och Moldavien innan den rinner ut i Donau.
Öresund|Det smala sundet skiljer Sverige från Danmark och förbinder Östersjön med Kattegatt genom ett tättrafikerat vattenområde.
Baarle-Hertog|Belgiska enklaver ligger som ett lapptäcke inne i Nederländerna, med gränser som ibland går rakt genom hus och lokaler.
Bering sund|Det smala havsområdet mellan Ryssland och Alaska skiljer Asien från Nordamerika och korsas av den internationella datumlinjen.
Green Line på Cypern|En FN-övervakad buffertzon delar sedan 1974 ön mellan den grekcypriotiska södern och den turkcypriotiska norrdelen.
Blue Line i Libanon|FN använder detta namn för den linje som bekräftades efter Israels tillbakadragande från södra Libanon år 2000.
Line of Control|Den militära kontrollinjen skiljer indiskt och pakistanskt kontrollerade delar av Kashmir utan att vara en slutligt erkänd internationell gräns.
Sykes-Picot-avtalet|Storbritannien och Frankrike planerade under första världskriget hur delar av Osmanska rikets arabiska områden skulle delas i inflytelsesfärer.
Sankt Gotthard-massivet|Detta centrala schweiziska bergsområde ligger nära viktiga språk- och avrinningsgränser och har varit en historisk nord-sydlig passage.
Tripoint|Platsen där tre statsgränser möts benämns internationellt ofta med detta ord och finns i hundratals varianter världen över.
enklav|Ett territorium som helt omges av en annan stat eller annat territorium kallas med detta geografiska begrepp.
exklav|En del av en stat som är geografiskt avskild från huvudområdet genom annat territorium kallas så.
Kaliningrad|Den ryska regionen vid Östersjön är skild från övriga Ryssland och ligger mellan Polen och Litauen.
Nakhchivan|Denna autonoma del av Azerbajdzjan är geografiskt avskild från resten av landet och gränsar bland annat till Turkiet och Iran.
Cabinda|Denna angolanska provins ligger avskild från resten av landet vid Atlantkusten och skiljs därifrån av en smal del av Kongo-Kinshasa.
Wakhan-korridoren|Den smala östliga landremsan i Afghanistan sträcker sig mellan Tadzjikistan och Pakistan fram till en kort gräns mot Kina.

@Nordens geografi|Vad är
Skandinaviska halvön|Sverige och Norge ligger huvudsakligen på denna stora halvö, som även omfattar en mindre del av nordvästra Finland.
Kölen|Bergskedjan längs stora delar av gränsen mellan Sverige och Norge kallas traditionellt med detta svenska namn.
Sognefjorden|Norges längsta och djupaste fjordsystem sträcker sig långt in från Atlantkusten mellan höga berg.
Jostedalsbreen|Detta stora glaciärområde i västra Norge är Europas största glaciär på fastlandet.
Jylland|Den danska halvön sitter samman med det europeiska fastlandet och rymmer bland annat Aarhus och Aalborg.
Själland|Köpenhamn ligger på denna största danska ö, som binds till Sverige genom Öresundsförbindelsen.
Fyn|Odense ligger på denna danska ö mellan Jylland och Själland och förbinds med båda genom stora broar.
Vatnajökull|Den enorma ismassan täcker en stor del av sydöstra Island och är en av Europas största glaciärer.
Thingvellir|Den historiska platsen på Island ligger i en sprickdal där de nordamerikanska och eurasiska tektoniska plattorna glider isär.
Geirangerfjorden|Branta fjäll, vattenfall och slingrande vägar omger denna världsarvslistade norska fjordarm.
Hardangervidda|Den stora högfjällsplatån i södra Norge är ett viktigt område för Europas största vilda renstam.
Saimaa|Finlands största sjösystem ligger i sydöstra delen av landet och är hem för den mycket sällsynta saimenvikaren.
Bornholm|Den danska ön ligger i Östersjön långt öster om resten av landet och är känd för rundkyrkor och klippkust.
Jotunheimen|Det norska högfjällsområdet innehåller landets högsta toppar Galdhøpiggen och Glittertind.
Grönlands inlandsis|Den enorma iskroppen täcker omkring fyra femtedelar av världens största ö och når flera kilometer i tjocklek.
Mjøsa|Norges största sjö ligger norr om Oslo och omges av orter som Hamar, Gjøvik och Lillehammer.
Treriksröset|Sveriges, Norges och Finlands gränser möts vid denna punkt nära sjön Goldajärvi i nordligaste Skandinavien.
Nordkap|Den dramatiska klippan på Magerøya marknadsförs som en nordlig utsiktspunkt över Barents hav, även om en annan närliggande udde ligger något längre norrut.
Lofoten|Den norska ögruppen har spetsiga berg direkt ur havet, små fiskelägen och en lång tradition av torskfiske.
Kemi älv|Denna flod är Finlands längsta och rinner genom norra landet till Bottenviken vid staden Kemi.
Koli|De skogklädda höjderna vid sjön Pielinen i östra Finland har blivit ett av landets mest ikoniska nationallandskap.
Snæfellsjökull|Vulkanen och glaciären på västra Island blev litterärt berömd som ingång till jordens inre hos Jules Verne.
Femundsmarka|Detta norska gränsområde mot Sverige är känt för sjöar, skogar och relativt orörd vildmark kring sjön Femunden.
Kvarken|Det smala området i Bottniska viken mellan Sverige och Finland är känt för snabb landhöjning och en labyrintisk skärgård.
Nordkalotten|Den nordligaste delen av Norge, Sverige och Finland, ibland även angränsande nordvästra Ryssland, samlas under detta geografiska begrepp.

@Sveriges städer|Vad är
Eskilstuna|Smides- och verkstadsindustri har präglat denna sörmländska stad där Rademachersmedjorna minner om äldre hantverk.
Västerås|Staden vid Mälaren är känd för industrihistoria, en stor domkyrka och närhet till fornlämningen Anundshög.
Växjö|Denna småländska residens- och universitetsstad ligger nära många sjöar och har en stor domkyrka med dubbla torn.
Halmstad|Staden vid Nissans mynning är en populär sommarort och förknippas med Galgberget, Tylösand och ett slott vid ån.
Helsingborg|Från denna stad är avståndet över Öresund till danska Helsingør bara några kilometer.
Södertälje|Kanalen mellan Mälaren och Östersjön samt stora verksamheter inom fordon och läkemedel präglar denna stad söder om Stockholm.
Skövde|Staden mellan Vänern och Vättern ligger vid Billingen och är känd för både försvarsmakt, högskola och spelutveckling.
Kristianstad|Den skånska staden anlades på 1600-talet av den danske kungen Christian IV och omges av låglänta våtmarker.
Nyköping|Ett medeltida slott känt för ett dramatiskt gästabud år 1317 förknippas med denna sörmländska kuststad.
Gävle|Den stora halmbocken som byggs inför jul varje år har blivit en internationellt känd symbol för denna stad.
Borås|Textil- och konfektionsindustri formade denna västsvenska stad som i dag också har en stor djurpark och högskola.
Härnösand|Denna stad vid Ångermanälvens mynning är residensstad i Västernorrlands län och har en domkyrka.
Östersund|Staden vid Storsjön är centrum i Jämtland och förknippas med vintersport, friluftsliv och berättelser om ett sjöodjur.
Luleå|Den norrländska kuststaden har stålindustri, tekniskt universitet och världsarvet Gammelstads kyrkstad i närheten.
Varberg|Fästningen vid Kattegatt, kallbadhuset och långa sandstränder präglar denna halländska kuststad.
Västervik|Den småländska kuststaden ligger vid en stor skärgård och har länge varit känd som sommar- och visort.
Falkenberg|Den halländska kuststaden ligger vid Ätrans mynning och förknippas med en lång sandstrand och äldre stenbro över ån.
Mariestad|Den lilla vänerstaden har en domkyrka trots att den inte längre är stiftsstad och en välbevarad äldre stadskärna.
Sala|Silvergruvan har präglat denna västmanländska stad sedan tidigmodern tid och gav kronan stora inkomster.
Arboga|Den medeltida staden i Västmanland förknippas med ett riksmöte 1435 som ibland beskrivs som Sveriges första riksdag.
Köping|Denna stad i västra Mälardalen har länge varit en knutpunkt för handel, industri, hamn och järnväg.
Laholm|Den lilla halländska staden vid Lagan räknas till landets äldsta och ligger nära långa sandstränder vid Kattegatt.
Mora|Staden vid Siljan är målgång för Vasaloppet och förknippas starkt med dalahästar och konstnären Anders Zorn.
Nora|Den lilla bergslagsstaden är känd för en välbevarad trästadsmiljö och ingår i gruppen ”tre trästäder”.
Piteå|Den norrländska kuststaden är känd för musikliv, skärgård och maträtten pitepalt.

@Svenska sjöar och älvar|Vad är
Emån|Detta sydsvenska vattendrag rinner genom Småland till Östersjön och är känt för stora havsöringar.
Lagan|Denna å rinner genom Småland och Halland och mynnar i Laholmsbukten efter flera stora vattenkraftverk.
Hjälmaren|Sveriges fjärde största sjö ligger väster om Mälaren och är förbunden med denna genom Hjälmare kanal och Eskilstunaån.
Storsjön|Östersund ligger vid denna jämtländska sjö, där berättelser om ett okänt sjöodjur har blivit lokal tradition.
Torne älv|Den stora oreglerade älven bildar långa sträckor av gränsen mellan Sverige och Finland innan den når Bottenviken.
Dalälven|Två stora källgrenar förenas vid Djurås och bildar denna älv som fortsätter genom Dalarna och Gästrikland till Bottenhavet.
Lule älv|Den kraftigt utbyggda norrlandsälven har många stora vattenkraftverk och når Bottenviken vid Luleå.
Ume älv|Denna älv rinner från fjällen genom bland annat Lyckseleområdet och mynnar i havet söder om Umeå.
Ångermanälven|En av Sveriges vattenrikaste älvar rinner genom Ångermanland och har flera stora vattenkraftverk.
Klarälven|Floden kommer från Norge som Trysilelva, rinner genom Värmland och bildar ett stort delta vid Karlstad.
Indalsälven|Storsjön avvattnas genom denna norrlandsälv som passerar bland annat Döda fallets område innan den når Bottenhavet.
Ljusnan|Älven rinner från Härjedalens fjäll genom Hälsingland och mynnar i Bottenhavet nära Ljusne.
Skellefteälven|Denna norrländska älv avvattnar stora sjöar i Lappland och är kraftigt utbyggd för vattenkraft.
Piteälven|En av Sveriges nationalälvar rinner från fjällen genom Lappland och Norrbotten utan stora vattenkraftsdammar i huvudfåran.
Kalixälven|Denna oreglerade nationalälv flyter från Kebnekaiseområdet mot Bottenviken och är viktig för lax och naturliga forsar.
Vindelälven|Nationalälven rinner genom Västerbottens inland och förenas med Umeälven nära Vännäs utan att själv vara storskaligt reglerad.
Mörrumsån|Denna å i Blekinge är internationellt känd för fiske efter lax och havsöring.
Göta älv|Vänerns vatten rinner genom denna älv via Trollhättan och Göteborg till Kattegatt.
Motala ström|Vättern avvattnas genom denna vattenväg som passerar Motala, sjön Roxen och Norrköping på väg mot Bråviken.
Siljan|Den stora dalasjön ligger i en gammal meteoritkraterstruktur och omges av orter som Mora, Rättvik och Leksand.
Hornavan|Sveriges djupaste sjö ligger i Arjeplogs kommun och når mer än tvåhundra meters djup.
Torneträsk|Den stora fjällsjön nära Abisko ligger i en lång dalgång och avvattnas österut genom Torne älv.
Bolmen|Den småländska sjön är viktig som dricksvattentäkt och förser även delar av Skåne genom en lång tunnel.
Sommen|Den djupa sjön på gränsen mellan Småland och Östergötland har många öar och en egen storrödingpopulation.
Åsnen|Den småländska sjön med mängder av öar och grunda vikar omges delvis av Sveriges relativt unga nationalpark med samma namn.

@Svenska fjäll och natur|Vad är
Sarektjåkkå|Denna topp i Sareks nationalpark är Sveriges näst högsta berg och ligger i ett väglöst högfjällsområde.
Abisko nationalpark|Denna park vid Torneträsk är känd för Kungsleden, fjällbjörkskog och relativt låg nederbörd i regnskugga.
Kungsleden|Den cirka 400 kilometer långa vandringsleden går genom svenska fjällen mellan Abisko i norr och Hemavan i söder.
Rapadalen|Den breda dalgången i Sarek är känd för slingrande vattendrag, stora deltan och dramatiska fjäll på båda sidor.
Njupeskär|Sveriges högsta vattenfall enligt traditionell mätning ligger i Fulufjällets nationalpark i nordvästra Dalarna.
Fulufjället|Nationalparken vid norska gränsen rymmer vattenfallet Njupeskär och den extremt gamla granindividen Old Tjikko.
Skuleskogen|Nationalparken vid Höga kusten kombinerar berg, gammelskog och den smala klippgången Slåttdalsskrevan.
Stora Sjöfallet|Nationalparken i Lappland ligger kring sjön Akkajaure och har förändrats kraftigt av vattenkraftsutbyggnad.
Padjelanta|Sveriges största nationalpark ligger väster om Sarek och består av öppna högfjällsplatåer, stora sjöar och samiska marker.
Muddus|Urskog, myrar och djupa raviner präglar denna stora nationalpark i Norrbotten nära Gällivare och Jokkmokk.
Tiveden|Vild blockrik skog mellan Vänern och Vättern skyddas i denna nationalpark med tydlig sagoskogskaraktär.
Tyresta|Gammal barrskog och brandfält finns i denna nationalpark strax söder om Stockholm.
Store Mosse|Sveriges största sammanhängande myrområde söder om Lappland skyddas i denna nationalpark i Småland.
Stenshuvud|Den skånska nationalparken vid Östersjön har lövskog, sandstränder och ett markant berg med utsikt över kusten.
Hamra|En av Sveriges första nationalparker skyddar gammal skog, myr och brandpräglade naturmiljöer i norra Dalarna.
Sonfjället|Denna nationalpark i Härjedalen är starkt förknippad med brunbjörn och ett tydligt fristående fjällmassiv.
Blå Jungfrun|Den isolerade granitön i Kalmarsund är nationalpark och har länge omgivits av sägner om häxor och Blåkulla.
Haparanda skärgård|Sandiga öar, landhöjning och nordlig Bottenviksmiljö präglar denna nationalpark längst i nordost.
Djurö|Denna nationalpark består av en ögrupp mitt i Vänern med skog, klippstränder och ett isolerat insjöläge.
Tresticklan|Denna nationalpark i Dalsland skyddar ett stort skogsområde nära norska gränsen med långa smala sprickdalar.
Norra Kvill|Gammal småländsk barrskog med stora stenblock och lång skoglig kontinuitet skyddas i denna lilla nationalpark.
Åsnens nationalpark|Bokskog, sjöstränder och en stor övärld präglar denna skyddade del av Smålands stora sjölandskap.
Björnlandet|Brandpräglad naturskog med gamla tallar och raviner finns i denna västerbottniska nationalpark nära Åsele.
Vadvetjåkka|Sveriges nordligaste nationalpark ligger väster om Torneträsk och är känd för kalkrik natur och ett mycket fuktigt fjällklimat.
Söderåsen|Djupa sprickdalar och ädellövskog gör denna skånska nationalpark till ett dramatiskt landskap trots den låga höjden över havet.

@USA:s städer|Vad är
New Orleans|Jazz, Mardi Gras och de franska kvarteren präglar denna stad vid Mississippi nära Mexikanska golfen.
Omaha|Denna stad i Nebraska ligger vid Missourifloden och är känd som hemstad för investeraren Warren Buffett.
Milwaukee|Denna stad vid Michigansjön i Wisconsin har en stark bryggerihistoria och är hem för motorcykelföretaget Harley-Davidson.
Boston|Freedom Trail, Harvard i grannstaden Cambridge och händelser från den amerikanska revolutionen förknippas med denna stad.
Seattle|Space Needle, grunge och stora teknikföretag är starkt förknippade med denna stad i nordvästra USA.
Philadelphia|Självständighetsförklaringen antogs här 1776 och den berömda Liberty Bell finns i stadens historiska centrum.
Albuquerque|New Mexicos största stad ligger vid Rio Grande och är känd för en stor årlig festival med varmluftsballonger.
Miami|Art déco, latinamerikansk kultur och stränder längs Atlanten förknippas med denna stad i södra Florida.
Detroit|Bilindustrin gav denna stad smeknamnet Motor City, medan skivbolaget Motown skapade ett annat starkt kulturarv.
Nashville|Grand Ole Opry och Music Row gör denna stad i Tennessee till ett viktigt centrum för countrymusik.
Atlanta|Coca-Cola, stora medieföretag och medborgarrättshistoria förknippas med denna huvudstad i Georgia.
Denver|Denna högt belägna stad nära Klippiga bergen kallas ofta Mile High City på grund av sin ungefärliga höjd över havet.
Sacramento|Kaliforniens huvudstad ligger där två stora floder möts i Central Valley, långt från delstatens största kuststäder.
Portland, Oregon|Broar, cykelkultur och närheten till vulkanen Mount Hood präglar denna stad vid Willamettefloden.
Minneapolis|Staden ligger vid Mississippi och bildar tillsammans med grannen Saint Paul ett stort storstadsområde känt som Twin Cities.
Baltimore|Inner Harbor och Fort McHenry, där den amerikanska nationalsångens text inspirerades, ligger i denna stad i Maryland.
Pittsburgh|Staden växte fram kring stålindustri där floderna Allegheny och Monongahela möts och bildar Ohiofloden.
Tucson|Denna stad i södra Arizona ligger i Sonoraöknen och omges av berg samt stora bestånd av saguarokaktus.
Charleston|Den historiska hamnstaden i South Carolina har färgstarka äldre hus och ligger nära platsen där inbördeskriget började.
St. Louis|Den stora Gateway Arch vid Mississippi symboliserar denna stads roll som historisk port mot den amerikanska västern.
Honolulu|Hawaiis huvudstad ligger på Oahu och omfattar det kända turistområdet Waikiki.
Anchorage|Alaskas största stad ligger mellan berg och hav och fungerar som logistiskt centrum för en enorm och glest befolkad delstat.
Santa Fe|New Mexicos huvudstad är känd för adobe-arkitektur och räknas till de äldsta europeiskt grundade städerna i USA.
New Orleans' Garden District|Detta historiska bostadsområde med stora 1800-talshus och ekalléer ligger i samma stad som de franska kvarteren.
Salt Lake City|Staden grundades av mormonska pionjärer och ligger nära den stora salta sjö som gav den dess namn.

@Asiens geografi|Vad är
Koreahalvön|Halvön mellan Gula havet och Japanska havet är sedan 1945 politiskt delad i två stater.
Lössplatån|Det tjocka lagret av vindblåst gulaktig jord i norra Kina har formats av djupa raviner och intensiv erosion.
Hainan|Den tropiska kinesiska ön ligger i Sydkinesiska havet och utgör en egen provins med Haikou som huvudstad.
Sundasundet|Detta sund skiljer de indonesiska öarna Java och Sumatra och ligger nära den vulkaniska ögruppen Krakatau.
Tibetplatån|Det enorma höglandsområdet kallas ibland världens tak och ger upphov till flera av Asiens stora floder.
Pamir|Det höga bergsområdet i Centralasien möter flera stora bergssystem och ligger huvudsakligen i Tadzjikistan.
Amur|Den stora floden bildar långa sträckor av gränsen mellan Ryssland och Kina innan den når Stilla havet.
Bengaliska viken|Den stora nordöstra delen av Indiska oceanen ligger mellan Indien, Bangladesh, Myanmar och ögrupper längre söderut.
Aralsjön|Den en gång enorma centralasiatiska sjön krympte dramatiskt när flodvatten leddes om för bevattning under sovjettiden.
Malackasundet|En av världens viktigaste sjöfartsleder passerar mellan Malackahalvön och Sumatra på väg mellan Indiska oceanen och Sydkinesiska havet.
Taklamakanöknen|Den stora sandöknen ligger i Tarimbäckenet i västra Kina och omges av höga bergskedjor.
Karakoram|Denna bergskedja innehåller K2 och flera av världens högsta toppar vid gränsområdena mellan Pakistan, Indien och Kina.
Tien Shan|Namnet betyder ungefär himmelsbergen och denna centralasiatiska kedja sträcker sig genom bland annat Kirgizistan och Kina.
Deccanplatån|En stor del av södra Indien består av denna höga platå mellan Västra och Östra Ghats.
Irrawaddy|Den stora floden rinner genom Myanmar från norr till söder och bildar ett bördigt delta vid Andamansjön.
Luzon|Filippinernas största ö rymmer huvudstadsområdet Manila och flera aktiva vulkaner.
Hokkaido|Japans nordligaste stora ö är känd för kalla vintrar, skidåkning, jordbruk och huvudstaden Sapporo.
Honshu|Tokyo, Kyoto, Osaka och Japans högsta berg ligger på denna största och folkrikaste japanska ö.
Altaj|Bergsområdet ligger där Ryssland, Mongoliet, Kina och Kazakstan närmar sig varandra och har gett namn åt flera geografiska regioner.
Sundasockeln|Det grunda havsområdet knyter geologiskt samman Malackahalvön med stora delar av västra Indonesien under perioder med låg havsnivå.
Wallacea|Öområdet mellan asiatiska och australiska faunaregioner omfattar bland annat Sulawesi och flera mindre indonesiska öar.
Ferganadalen|Det tätbefolkade centralasiatiska låglandet delas mellan Uzbekistan, Kirgizistan och Tadzjikistan och är viktigt för jordbruk.
Kyzylkum|Den stora öknen ligger mellan floderna Amu-Darja och Syr-Darja i Centralasien, främst i Uzbekistan och Kazakstan.
Hindu Kush|Bergskedjan går genom Afghanistan och Pakistan och har historiskt varit en viktig barriär och passage mellan regioner.
Mesopotamiska slätten|Det låga bördiga området kring Eufrat och Tigris i Irak var centrum för några av världens tidigaste stadsbildningar.

@Afrikas geografi|Vad är
Nigerfloden|Den stora västafrikanska floden gör en vid båge genom bland annat Mali och Nigeria innan den når Guineabukten.
Kongofloden|Denna centralafrikanska flod har världens näst största vattenföring och passerar genom ett enormt tropiskt avrinningsområde.
Nildeltat|Floden delar upp sig i flera grenar norr om Kairo och bildar detta tätbefolkade triangelformade jordbruksområde.
Kongobäckenet|Världens näst största tropiska regnskogsområde ligger kring en enorm centralafrikansk flod och dess många biflöden.
Kalahari|Det torra sandiga området täcker stora delar av Botswana och sträcker sig in i Namibia och Sydafrika.
Malawisjön|Den långsmala sjön i Östafrikanska gravsänkan är känd för en mycket artrik fauna av ciklidfiskar.
Tchadsjön|Den grunda insjön i Sahel delas mellan flera länder och har varierat kraftigt i storlek över tid.
Rift Valley|Den stora östafrikanska sprickzonen präglas av vulkaner, långsmala sjöar och pågående separation av jordskorpeplattor.
Ruwenzoribergen|Den höga bergskedjan på gränsen mellan Uganda och Kongo-Kinshasa är känd för fuktiga alpina miljöer och glaciärer.
Limpopofloden|Denna flod gör en stor båge genom södra Afrika och mynnar i Indiska oceanen i Moçambique.
Fouta Djallon|Detta högland i Guinea är källområde för flera stora västafrikanska floder, bland annat Niger och Senegal.
Drakensberg|Den höga bergskedjan och branten i södra Afrika når sina största höjder längs gränsområdet mellan Sydafrika och Lesotho.
Sahel|Det halvtorra bältet söder om Sahara sträcker sig tvärs över Afrika och utgör en övergång mellan öken och savann.
Guineabukten|Den stora bukten i Atlanten ligger vid Västafrikas sydkust nära ekvatorn och omges av flera oljeproducerande länder.
Bodélédepressionen|Det uttorkade sjöområdet i Tchad är en av världens största naturliga källor till mineralstoft som förs långt över Atlanten.
Cape Agulhas|Afrikas sydligaste punkt ligger i Sydafrika och markerar geografiskt mötet mellan Atlanten och Indiska oceanen.
Danakil-depressionen|Det extremt heta lågområdet i Etiopien och Eritrea har saltslätter, vulkanism och platser under havsnivån.
Etiopiska höglandet|Detta stora bergiga område kallas ibland Afrikas tak och är källa till flera floder, däribland Blå Nilen.
Tibestibergen|Det vulkaniska bergsområdet reser sig ur Sahara främst i norra Tchad och rymmer några av öknens högsta toppar.
Sudd|Ett enormt träsk- och våtmarksområde i Sydsudan bildas av Vita Nilen och kan förändras kraftigt i utbredning mellan årstider.
Banc d'Arguin|Det grunda kust- och öområdet i Mauretanien är en av Västafrikas viktigaste platser för flyttande vadarfåglar.
Aïrbergen|Det isolerade bergsmassivet reser sig ur Sahara i Niger och omges av mycket torra ökenområden.
Tassili n'Ajjer|Sandstensplatån i Algeriska Sahara är känd för märkliga klippformationer och tusentals förhistoriska hällmålningar.
Makgadikgadi|Enorma saltslätter i Botswana är rester av en forntida sjö och fylls delvis med vatten under regnperioder.
Albertineriften|Den västliga grenen av Östafrikanska riften rymmer djupa sjöar, höga berg och några av Afrikas artrikaste skogar.

@Sydamerikas geografi|Vad är
Amazonasbäckenet|Världens största avrinningsområde täcker enorma delar av kontinenten och domineras av tropisk regnskog.
Guayanahöglandet|Äldre berggrund med stora platåberg, så kallade tepuis, präglar området i Venezuela och grannländerna.
Patagonien|Den stora regionen längst i södra Argentina och Chile präglas av stäpp, berg, glaciärer och starka vindar.
Ängelfallen|Världens högsta obrutna vattenfall störtar från ett platåberg i Venezuela.
Pantanal|Världens största tropiska våtmarksområde ligger huvudsakligen i Brasilien men sträcker sig även in i Bolivia och Paraguay.
Maracaibosjön|Den stora bräckta vattenbassängen i nordvästra Venezuela är förbunden med Karibiska havet och omges av viktiga oljeområden.
Altiplano|Den höga platån i centrala Anderna ligger mellan stora bergskedjor och omfattar delar av Peru, Bolivia, Chile och Argentina.
Paranáfloden|Den stora sydamerikanska floden rinner genom Brasilien, Paraguay och Argentina och ingår i Río de la Platas avrinningsområde.
Essequibo|Denna stora flod rinner genom Guyana och mynnar i Atlanten i ett brett estuarium med många öar.
Tepuis|Dessa platåberg med nästan lodräta väggar finns främst i Venezuela och Guyanas högland och har många isolerade arter.
Pampas|De bördiga grässlätterna i Argentina och Uruguay är viktiga för jordbruk, boskap och gauchokultur.
Gran Chaco|Den varma torra låglandsregionen sträcker sig genom Paraguay, Bolivia och Argentina och består av skog, savann och våtmarker.
Río Negro|Denna mörkvattenflod är en av Amazonas största bifloder och möter Solimões vid Manaus i ett berömt tvåfärgat flodmöte.
Eldslandet|Ögruppen vid kontinentens sydspets delas mellan Argentina och Chile och skiljs från fastlandet av Magellans sund.
Salar de Uyuni|Den enorma bolivianska saltslätten ligger på hög höjd och kan under regnperioder bli en spegelblank vattenyta.
Cerro Torre|Denna spetsiga patagoniska bergstopp nära Fitz Roy förknippas med svår klättring och en karakteristisk ishätta på toppen.
Mato Grosso|Detta stora brasilianska inlandområde omfattar delar av både Amazonas, cerrado och Pantanal och har omfattande jordbruk.
sertão|Det torra inlandet i nordöstra Brasilien har återkommande torka och en tydlig regional kulturhistoria.
Llanos|De vidsträckta tropiska savannerna kring Orinoco delas främst mellan Venezuela och Colombia.
Marañón|Denna peruanska flod räknas som en av Amazonas viktigaste källfloder och skär genom djupa Andinska dalar.
Madeira|Den stora bifloden till Amazonas rinner från Bolivia genom Brasilien och transporterar enorma mängder vatten och sediment.
Xingufloden|Den stora bifloden rinner norrut genom Brasilien och mynnar i Amazonas; stora dammprojekt har gjort den internationellt omdiskuterad.
Río de la Plata|Den mycket breda flodmynningen mellan Argentina och Uruguay bildas när Paraná och Uruguay möts nära Buenos Aires.
Cordillera Blanca|Perus högsta tropiska bergskedja har många glaciärer och toppar över 6 000 meter, däribland Huascarán.
Caatinga|Denna torra brasilianska naturtyp har taggiga buskar, kaktusliknande växter och arter anpassade till långvarig torka.

@Oceanien|Vad är
Nya Zeelands Sydö|Den större av landets två huvudöar domineras av Sydalperna och har städer som Christchurch och Dunedin.
Outback|Detta informella namn används för Australiens glest befolkade, torra inland långt från de stora kuststäderna.
Tasmanhavet|Havsområdet ligger mellan Australien och Nya Zeeland och har fått namn efter en nederländsk upptäcktsresande.
Uluru|Det enorma röda sandstensberget i centrala Australien är heligt för Anangu-folket och ändrar färg med ljuset.
Nullarborslätten|Det stora nästan trädlösa kalkstensområdet sträcker sig längs södra Australien mellan South Australia och Western Australia.
Fiji|Östaten i Melanesien består av hundratals öar och är internationellt känd för rugby, korallrev och tropiskt klimat.
Samoa|Den polynesiska ögruppen är politiskt delad mellan en självständig stat och ett amerikanskt territorium längre österut.
Vanuatu|Östaten i Melanesien består av vulkaniska öar och har ovanligt stor språklig mångfald i förhållande till befolkningen.
Kiribati|Detta örike består till stor del av låga korallatoller spridda över ett enormt område nära ekvatorn i centrala Stilla havet.
Palau|Den lilla östaten i Mikronesien är känd för sina gröna kalkstensöar, rika korallrev och en marin sjö med maneter.
Aotearoa|Detta maoriska namn används allmänt för Nya Zeeland och betyder ungefär landet med det långa vita molnet.
Mauna Kea|Det hawaiianska berget är mycket högt räknat från havsbottnen och har stora astronomiska observatorier nära toppen.
Cooköarna|Den självstyrande ögruppen i fri association med Nya Zeeland ligger i södra Stilla havet och består av femton huvudöar.
Tonga|Detta polynesiska kungarike är den enda traditionella monarkin i regionen som aldrig formellt koloniserades helt av en europeisk makt.
Nauru|Den mycket lilla östaten nära ekvatorn blev rik på fosfatbrytning men drabbades senare av stora ekonomiska och miljömässiga problem.
Kermadecgraven|Den djupa havsgraven nordost om Nya Zeeland bildas där Stillahavsplattan pressas ned under den australiska plattan.
Melanesien|Papua Nya Guinea, Salomonöarna, Vanuatu och Fiji räknas ofta till denna kulturella och geografiska del av Oceanien.
Mikronesien|Marshallöarna, Palau och flera andra små ögrupper i västra och centrala Stilla havet ingår i denna region.
Polynesiska triangeln|Hawaii, Nya Zeeland och Påskön bildar ungefär hörnen i detta enorma kulturgeografiska område i Stilla havet.
Murray-Darling-bäckenet|Australiens viktigaste jordbruksområde dräneras av två stora floder och har återkommande konflikter om vattenfördelning.
Kimberley|Den avlägsna regionen i nordvästra Australien är känd för djupa raviner, dramatiska kustlinjer och mycket gammal klippkonst.
Arnhem Land|Det stora området i Northern Territory har stark aboriginsk kulturell kontinuitet och begränsad tillgång för besökare.
